SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10876 Caminito Arcada,San Diego,CA,92131,899000,3,2.5,Scripps Ranch,1269,13025,1996,2,708,100,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/10876-Caminito-Arcada-92131/home/4826632,SDMLS,220025379,N,Y,32.9332829,-117.0944395
MLS Listing,,Townhouse,6275 Caminito Salado,San Diego,CA,92111,729000,3,2,San Diego,1392,1369,1973,2,524,525,Active,,,https://www.redfin.com/CA/San-Diego/6275-Caminito-Salado-92111/home/5248922,SDMLS,220025378,N,Y,32.772075,-117.182679
MLS Listing,,Single Family Residential,4632 Mount Gaywas Dr,San Diego,CA,92117,995000,4,3,92117 - Clairemont Mesa,1412,6000,1959,2,705,,Active,,,https://www.redfin.com/CA/San-Diego/4632-Mt-Gaywas-Dr-92117/home/4960396,CRMLS,NDP2210204,N,Y,32.8261812,-117.1922087
MLS Listing,,Single Family Residential,1004 Devonshire Dr,San Diego,CA,92107,6400000,5,3.5,Point Loma,4606,,1927,2,1389,,Active,,,https://www.redfin.com/CA/San-Diego/1004-Devonshire-Dr-92107/home/5737300,SDMLS,220025376,N,Y,32.7258214,-117.2546828
MLS Listing,,Condo/Co-op,4545 Collwood Blvd #68,San Diego,CA,92115,537000,2,2,Talmadge,1120,93430,1971,3,479,340,Active,,,https://www.redfin.com/CA/San-Diego/4545-Collwood-Blvd-92115/unit-68/home/5464617,SDMLS,220025375,N,Y,32.7604566,-117.0809942
MLS Listing,,Single Family Residential,3634 Plumosa Dr,San Diego,CA,92106,2800000,4,4,Point Loma,3050,6800,1932,3,918,,Active,,,https://www.redfin.com/CA/San-Diego/3634-Plumosa-Dr-92106/home/5347507,SDMLS,220025374,N,Y,32.7452462,-117.2222538
MLS Listing,,Single Family Residential,3126 31St St,San Diego,CA,92104,985000,2,1.5,92104 - North Park,1326,3313,1981,3,743,,Active,,,https://www.redfin.com/CA/San-Diego/3126-31st-St-92104/home/5389274,CRMLS,NDP2210197,N,Y,32.7378966,-117.1275552
MLS Listing,,Multi-Family (2-4 Unit),7142-44 AMHERST Rd,San Diego,CA,92115,898000,5,2,College Grove,1900,,1960,3,473,,Active,,,https://www.redfin.com/CA/San-Diego/7142-Amherst-St-92115/home/5482065,SDMLS,220025369,N,Y,32.7680316,-117.0438481
MLS Listing,,Single Family Residential,7616 Conestoga Way,San Diego,CA,92120,929000,4,2,San Diego,1601,,1968,3,580,,Active,,,https://www.redfin.com/CA/San-Diego/7616-Conestoga-Way-92120/home/5406263,SDMLS,220025368,N,Y,32.8068068,-117.0751101
MLS Listing,,Condo/Co-op,14147 Caminito Quevedo,San Diego,CA,92129,599000,3,2,Rancho Penasquitos,1170,,1972,3,512,390,Active,,,https://www.redfin.com/CA/San-Diego/14147-Caminito-Quevedo-92129/home/4615797,SDMLS,220025367,N,Y,32.9678868,-117.0945251
